AgeMonths,IntakeHour,OutcomeHour,AgeAtOutcomeMonths,Breed_Freq,Color_Freq,Animal Type_dog,Sex upon Intake_intact male,Sex upon Intake_neutered male,Sex upon Intake_spayed female,Sex upon Intake_unknown,Intake Type_euthanasia request,Intake Type_owner surrender,Intake Type_public assist,Intake Type_stray,Intake Type_wildlife,Intake Condition_agonal,Intake Condition_behavior,Intake Condition_congenital,Intake Condition_feral,Intake Condition_injured,Intake Condition_med attn,Intake Condition_med urgent,Intake Condition_medical,Intake Condition_neonatal,Intake Condition_neurologic,Intake Condition_normal,Intake Condition_nursing,Intake Condition_other,Intake Condition_parvo,Intake Condition_pregnant,Intake Condition_sick,Intake Condition_space,Intake Condition_unknown,IntakeWeekday_Monday,IntakeWeekday_Saturday,IntakeWeekday_Sunday,IntakeWeekday_Thursday,IntakeWeekday_Tuesday,IntakeWeekday_Wednesday,OutcomeWeekday_Monday,OutcomeWeekday_Saturday,OutcomeWeekday_Sunday,OutcomeWeekday_Thursday,OutcomeWeekday_Tuesday,OutcomeWeekday_Wednesday,True,Pred_RF,Pred_LGB,TrueName,PredName_RF,PredName_LGB
48.0,17,13,60.0,0.07260001619331216,0.10453682629074193,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0,3,3,adoption,return to owner,return to owner
96.0,12,18,107.0,0.023723202317442897,0.021015320672562232,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,4,0,0,transfer,adoption,adoption
3.0,11,17,3.0,0.009949890695142906,0.0028338296283634858,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,4,0,0,transfer,adoption,adoption
2.0,13,17,4.0,0.22815477207913132,0.016346248999163347,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0,2,2,adoption,euthanasia,euthanasia
10.0,8,15,11.0,0.054355551157372006,0.018154502190595286,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0,3,3,adoption,return to owner,return to owner
108.0,13,15,110.0,0.07260001619331216,0.0031666921561395145,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1,0,0,died,adoption,adoption
60.0,14,13,76.0,0.023723202317442897,0.003985354048777855,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0,3,3,adoption,return to owner,return to owner
12.0,10,17,12.0,0.054355551157372006,0.015392642838507697,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,0,0,return to owner,adoption,adoption
36.0,9,18,37.0,0.07260001619331216,0.10453682629074193,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3,0,0,return to owner,adoption,adoption
60.0,11,12,68.0,0.05086499275799095,0.024649819624495084,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,0,0,transfer,adoption,adoption
24.0,11,11,27.0,0.14435438164038253,0.06934336119182778,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0,4,4,adoption,transfer,transfer
36.0,11,15,37.0,0.001889219752242324,0.021015320672562232,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,4,3,3,transfer,return to owner,return to owner
24.0,12,18,24.0,0.054355551157372006,0.020637476722113766,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,3,3,adoption,return to owner,return to owner
